index,feature,direction_label,model_label,mean_importance,std_importance
0,connection_state,IoT-23 -> UNSW-NB15,Random Forest,0.0211924485002351,0.0
1,connection_state,UNSW-NB15 -> IoT-23,Random Forest,0.060444757225679,0.0
2,destination_mean_bytes_per_packet,IoT-23 -> UNSW-NB15,Random Forest,0.0001234102387240157,5.5377150224402066e-05
3,destination_mean_bytes_per_packet,IoT-23 -> UNSW-NB15,XGBoost,0.0,0.0
4,destination_mean_bytes_per_packet,UNSW-NB15 -> IoT-23,Random Forest,0.17732565455180638,0.009615057137736688
5,destination_mean_bytes_per_packet,UNSW-NB15 -> IoT-23,XGBoost,0.360830035,0.010181255775711086
6,destination_to_source_bytes,IoT-23 -> UNSW-NB15,Random Forest,0.00014892873264663332,1.8397336337896174e-05
7,destination_to_source_bytes,IoT-23 -> UNSW-NB15,XGBoost,0.008327879,0.011777399427602088
8,destination_to_source_bytes,UNSW-NB15 -> IoT-23,Random Forest,0.13629467253669555,0.006378215974694254
9,destination_to_source_bytes,UNSW-NB15 -> IoT-23,XGBoost,0.12310051699999999,0.0017173601389627083
10,destination_to_source_packets,IoT-23 -> UNSW-NB15,Random Forest,0.0048191285118979995,0.0017944898622754097
11,destination_to_source_packets,IoT-23 -> UNSW-NB15,XGBoost,0.0151624655,0.001456113174692304
12,destination_to_source_packets,UNSW-NB15 -> IoT-23,Random Forest,0.10283943236546861,0.006673485510892144
13,destination_to_source_packets,UNSW-NB15 -> IoT-23,XGBoost,0.0305191915,0.0005371770008521392
14,flow_duration,IoT-23 -> UNSW-NB15,Random Forest,0.4757863015490164,0.01634818147828409
15,flow_duration,IoT-23 -> UNSW-NB15,XGBoost,0.396506895,0.01827202813459007
16,flow_duration,UNSW-NB15 -> IoT-23,Random Forest,0.17384033221393347,0.023709819185874125
17,flow_duration,UNSW-NB15 -> IoT-23,XGBoost,0.13328682,0.005141811812211707
18,protocol,IoT-23 -> UNSW-NB15,Random Forest,0.09581431083061072,0.006700168762109114
19,protocol,IoT-23 -> UNSW-NB15,XGBoost,0.26871719,0.025014595349119664
20,protocol,UNSW-NB15 -> IoT-23,Random Forest,0.022500477051688835,0.003656872142163966
21,protocol,UNSW-NB15 -> IoT-23,XGBoost,0.053655925,0.0020935805445336953
22,service,IoT-23 -> UNSW-NB15,Random Forest,0.00011789627882123816,3.3487647183716496e-05
23,service,IoT-23 -> UNSW-NB15,XGBoost,0.0047684195,0.006743563527984333
24,service,UNSW-NB15 -> IoT-23,Random Forest,0.03771674072565067,0.001364107813110455
25,service,UNSW-NB15 -> IoT-23,XGBoost,0.081146095,0.006330719940895344
26,source_mean_bytes_per_packet,IoT-23 -> UNSW-NB15,Random Forest,0.004211612076492733,0.0004340907451061106
27,source_mean_bytes_per_packet,IoT-23 -> UNSW-NB15,XGBoost,0.011130001,0.005266122598557879
28,source_mean_bytes_per_packet,UNSW-NB15 -> IoT-23,Random Forest,0.1277903865539954,0.0012482710005515857
29,source_mean_bytes_per_packet,UNSW-NB15 -> IoT-23,XGBoost,0.095832367,0.0031178925993334008
30,source_to_destination_bytes,IoT-23 -> UNSW-NB15,Random Forest,0.0035489290160968666,0.00019652442081421039
31,source_to_destination_bytes,IoT-23 -> UNSW-NB15,XGBoost,0.022728961,0.0013906060953764036
32,source_to_destination_bytes,UNSW-NB15 -> IoT-23,Random Forest,0.1442073720282264,0.005579362950354514
33,source_to_destination_bytes,UNSW-NB15 -> IoT-23,XGBoost,0.08206155500000001,0.0016867325158423925
34,source_to_destination_packets,IoT-23 -> UNSW-NB15,Random Forest,0.4083653332656147,0.009714260634494685
35,source_to_destination_packets,IoT-23 -> UNSW-NB15,XGBoost,0.27265821,0.01956509309214242
36,source_to_destination_packets,UNSW-NB15 -> IoT-23,Random Forest,0.0573366795639746,0.0022378706386894237
37,source_to_destination_packets,UNSW-NB15 -> IoT-23,XGBoost,0.03956746,0.005101124888022247
