feature,importance,run_folder,run_id,direction,direction_label,model,model_label,include_review_features,feature_count,variant
flow_duration,0.4847944599715502,outputs,R1,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,rf,Random Forest,False,9,Accepted 9-feature subset
source_to_destination_packets,0.4001701973412731,outputs,R1,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,rf,Random Forest,False,9,Accepted 9-feature subset
protocol,0.103427029756559,outputs,R1,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,rf,Random Forest,False,9,Accepted 9-feature subset
source_mean_bytes_per_packet,0.0043179114810869,outputs,R1,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,rf,Random Forest,False,9,Accepted 9-feature subset
source_to_destination_bytes,0.0036476031746849,outputs,R1,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,rf,Random Forest,False,9,Accepted 9-feature subset
destination_to_source_packets,0.0031823754223519,outputs,R1,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,rf,Random Forest,False,9,Accepted 9-feature subset
destination_mean_bytes_per_packet,0.000173525069906,outputs,R1,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,rf,Random Forest,False,9,Accepted 9-feature subset
service,0.000153397155032,outputs,R1,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,rf,Random Forest,False,9,Accepted 9-feature subset
destination_to_source_bytes,0.0001335006275556,outputs,R1,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,rf,Random Forest,False,9,Accepted 9-feature subset
flow_duration,0.1870773911981227,outputs,R1,unsw_train_to_iot23_test,UNSW-NB15 -> IoT-23,rf,Random Forest,False,9,Accepted 9-feature subset
destination_mean_bytes_per_packet,0.1798544044498906,outputs,R1,unsw_train_to_iot23_test,UNSW-NB15 -> IoT-23,rf,Random Forest,False,9,Accepted 9-feature subset
source_to_destination_bytes,0.150644269510797,outputs,R1,unsw_train_to_iot23_test,UNSW-NB15 -> IoT-23,rf,Random Forest,False,9,Accepted 9-feature subset
destination_to_source_bytes,0.1364509595858127,outputs,R1,unsw_train_to_iot23_test,UNSW-NB15 -> IoT-23,rf,Random Forest,False,9,Accepted 9-feature subset
source_mean_bytes_per_packet,0.1268369288403648,outputs,R1,unsw_train_to_iot23_test,UNSW-NB15 -> IoT-23,rf,Random Forest,False,9,Accepted 9-feature subset
destination_to_source_packets,0.1037455269568092,outputs,R1,unsw_train_to_iot23_test,UNSW-NB15 -> IoT-23,rf,Random Forest,False,9,Accepted 9-feature subset
source_to_destination_packets,0.0553376750796768,outputs,R1,unsw_train_to_iot23_test,UNSW-NB15 -> IoT-23,rf,Random Forest,False,9,Accepted 9-feature subset
service,0.0390847625783956,outputs,R1,unsw_train_to_iot23_test,UNSW-NB15 -> IoT-23,rf,Random Forest,False,9,Accepted 9-feature subset
protocol,0.0209680818001302,outputs,R1,unsw_train_to_iot23_test,UNSW-NB15 -> IoT-23,rf,Random Forest,False,9,Accepted 9-feature subset
flow_duration,0.4856489494884547,outputs_2,R2,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,rf,Random Forest,False,9,Accepted 9-feature subset
source_to_destination_packets,0.4058299026554151,outputs_2,R2,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,rf,Random Forest,False,9,Accepted 9-feature subset
protocol,0.0932025828407799,outputs_2,R2,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,rf,Random Forest,False,9,Accepted 9-feature subset
destination_to_source_packets,0.0067379474035049,outputs_2,R2,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,rf,Random Forest,False,9,Accepted 9-feature subset
source_mean_bytes_per_packet,0.0045826794205575,outputs_2,R2,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,rf,Random Forest,False,9,Accepted 9-feature subset
source_to_destination_bytes,0.003676564832458,outputs_2,R2,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,rf,Random Forest,False,9,Accepted 9-feature subset
destination_to_source_bytes,0.0001439959609147,outputs_2,R2,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,rf,Random Forest,False,9,Accepted 9-feature subset
service,0.000113419436879,outputs_2,R2,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,rf,Random Forest,False,9,Accepted 9-feature subset
destination_mean_bytes_per_packet,6.395796103594712e-05,outputs_2,R2,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,rf,Random Forest,False,9,Accepted 9-feature subset
flow_duration,0.187976096926019,outputs_2,R2,unsw_train_to_iot23_test,UNSW-NB15 -> IoT-23,rf,Random Forest,False,9,Accepted 9-feature subset
destination_mean_bytes_per_packet,0.1854236186121489,outputs_2,R2,unsw_train_to_iot23_test,UNSW-NB15 -> IoT-23,rf,Random Forest,False,9,Accepted 9-feature subset
source_to_destination_bytes,0.1412214185147321,outputs_2,R2,unsw_train_to_iot23_test,UNSW-NB15 -> IoT-23,rf,Random Forest,False,9,Accepted 9-feature subset
destination_to_source_bytes,0.129839749277149,outputs_2,R2,unsw_train_to_iot23_test,UNSW-NB15 -> IoT-23,rf,Random Forest,False,9,Accepted 9-feature subset
source_mean_bytes_per_packet,0.1292032613834329,outputs_2,R2,unsw_train_to_iot23_test,UNSW-NB15 -> IoT-23,rf,Random Forest,False,9,Accepted 9-feature subset
destination_to_source_packets,0.1090135755233574,outputs_2,R2,unsw_train_to_iot23_test,UNSW-NB15 -> IoT-23,rf,Random Forest,False,9,Accepted 9-feature subset
source_to_destination_packets,0.0597542970339263,outputs_2,R2,unsw_train_to_iot23_test,UNSW-NB15 -> IoT-23,rf,Random Forest,False,9,Accepted 9-feature subset
service,0.0377088786612888,outputs_2,R2,unsw_train_to_iot23_test,UNSW-NB15 -> IoT-23,rf,Random Forest,False,9,Accepted 9-feature subset
protocol,0.0198591040679451,outputs_2,R2,unsw_train_to_iot23_test,UNSW-NB15 -> IoT-23,rf,Random Forest,False,9,Accepted 9-feature subset
flow_duration,0.40942717,outputs_3,R3,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,xgb,XGBoost,False,9,Accepted 9-feature subset
protocol,0.28640518,outputs_3,R3,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,xgb,XGBoost,False,9,Accepted 9-feature subset
source_to_destination_packets,0.2588236,outputs_3,R3,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,xgb,XGBoost,False,9,Accepted 9-feature subset
source_to_destination_bytes,0.021745654,outputs_3,R3,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,xgb,XGBoost,False,9,Accepted 9-feature subset
