direction,target_fraction,feature,pretrain_importance,adapted_importance,absolute_shift
IoT-23 -> UNSW-NB15,0.05,flow_duration,0.44758436,0.24567157,0.20191279
IoT-23 -> UNSW-NB15,0.05,protocol,0.2293342,0.32641324,0.09707904
IoT-23 -> UNSW-NB15,0.05,destination_to_source_packets,0.016133165,0.06307042,0.046937255
IoT-23 -> UNSW-NB15,0.1,flow_duration,0.44758436,0.26739046,0.18019390000000002
IoT-23 -> UNSW-NB15,0.1,source_to_destination_packets,0.2624976,0.17254904,0.08994856000000001
IoT-23 -> UNSW-NB15,0.1,protocol,0.2293342,0.29827407,0.06893987000000001
IoT-23 -> UNSW-NB15,0.25,flow_duration,0.44758436,0.23371132,0.21387304000000001
IoT-23 -> UNSW-NB15,0.25,source_to_destination_packets,0.2624976,0.119395584,0.143102016
IoT-23 -> UNSW-NB15,0.25,destination_mean_bytes_per_packet,0.0,0.08680011,0.08680011
IoT-23 -> UNSW-NB15,0.5,flow_duration,0.44758436,0.25056377,0.19702059
IoT-23 -> UNSW-NB15,0.5,source_to_destination_packets,0.2624976,0.08382185,0.17867575
IoT-23 -> UNSW-NB15,0.5,destination_mean_bytes_per_packet,0.0,0.12289491,0.12289491
IoT-23 -> UNSW-NB15,1.0,flow_duration,0.44758436,0.23959832,0.20798604
IoT-23 -> UNSW-NB15,1.0,source_to_destination_packets,0.2624976,0.056272767,0.206224833
IoT-23 -> UNSW-NB15,1.0,destination_to_source_bytes,0.006321346,0.1674166,0.161095254
UNSW-NB15 -> IoT-23,0.05,flow_duration,0.117270075,0.0625472,0.054722875000000004
UNSW-NB15 -> IoT-23,0.05,destination_mean_bytes_per_packet,0.46877655,0.507884,0.03910744999999999
UNSW-NB15 -> IoT-23,0.05,destination_to_source_bytes,0.12716591,0.13777468,0.010608770000000017
UNSW-NB15 -> IoT-23,0.1,flow_duration,0.117270075,0.071975365,0.04529471
UNSW-NB15 -> IoT-23,0.1,destination_mean_bytes_per_packet,0.46877655,0.5062078,0.03743124999999997
UNSW-NB15 -> IoT-23,0.1,source_to_destination_packets,0.024416415,0.011638643,0.012777772
UNSW-NB15 -> IoT-23,0.25,flow_duration,0.117270075,0.059261467,0.058008608
UNSW-NB15 -> IoT-23,0.25,destination_mean_bytes_per_packet,0.46877655,0.5136891,0.044912549999999996
UNSW-NB15 -> IoT-23,0.25,source_to_destination_packets,0.024416415,0.010728106,0.013688309000000001
UNSW-NB15 -> IoT-23,0.5,flow_duration,0.117270075,0.051560342,0.06570973299999999
UNSW-NB15 -> IoT-23,0.5,destination_mean_bytes_per_packet,0.46877655,0.5268355,0.05805895
UNSW-NB15 -> IoT-23,0.5,destination_to_source_bytes,0.12716591,0.14291568,0.015749769999999996
UNSW-NB15 -> IoT-23,1.0,flow_duration,0.117270075,0.050031394,0.067238681
UNSW-NB15 -> IoT-23,1.0,destination_mean_bytes_per_packet,0.46877655,0.5333779,0.06460134999999995
UNSW-NB15 -> IoT-23,1.0,destination_to_source_bytes,0.12716591,0.14469044,0.01752453000000001
